run,variant,threshold,precision,recall,f1,accuracy,tp,fp,fn,tn,rows
run_10,no_token,0.968,0.9999866153175027,0.9593836883363851,0.9792644560359647,0.9797728347063576,16660613,223,705341,17515824,34882001
run_11,no_token,0.969,0.9999866153175027,0.9593836883363851,0.9792644560359647,0.9797728347063576,16660613,223,705341,17515824,34882001
run_12,no_token,0.968,0.9999866153175027,0.9593836883363851,0.9792644560359647,0.9797728347063576,16660613,223,705341,17515824,34882001
run_13,no_token,0.969,0.9999866153175027,0.9593836883363851,0.9792644560359647,0.9797728347063576,16660613,223,705341,17515824,34882001
run_14,no_token,0.969,0.9999866153175027,0.9593836883363851,0.9792644560359647,0.9797728347063576,16660613,223,705341,17515824,34882001
run_15,no_token,0.97,0.9999866153175027,0.9593836883363851,0.9792644560359647,0.9797728347063576,16660613,223,705341,17515824,34882001
run_16,no_token,0.968,0.9999866153175027,0.9593836883363851,0.9792644560359647,0.9797728347063576,16660613,223,705341,17515824,34882001
run_17,no_token,0.968,0.9999866153175027,0.9593836883363851,0.9792644560359647,0.9797728347063576,16660613,223,705341,17515824,34882001
run_18,no_token,0.967,0.9999866153175027,0.9593836883363851,0.9792644560359647,0.9797728347063576,16660613,223,705341,17515824,34882001
run_19,no_token,0.968,0.9999866153175027,0.9593836883363851,0.9792644560359647,0.9797728347063576,16660613,223,705341,17515824,34882001
run_20,no_token,0.969,0.9999866153175027,0.9593836883363851,0.9792644560359647,0.9797728347063576,16660613,223,705341,17515824,34882001
run_21,no_token,0.968,0.9999866153175027,0.9593836883363851,0.9792644560359647,0.9797728347063576,16660613,223,705341,17515824,34882001
run_22,no_token,0.969,0.9999866153175027,0.9593836883363851,0.9792644560359647,0.9797728347063576,16660613,223,705341,17515824,34882001
run_23,no_token,0.969,0.9999866153175027,0.9593836883363851,0.9792644560359647,0.9797728347063576,16660613,223,705341,17515824,34882001
run_24,no_token,0.97,0.9999866153175027,0.9593836883363851,0.9792644560359647,0.9797728347063576,16660613,223,705341,17515824,34882001
run_25,no_token,0.969,0.9999866153175027,0.9593836883363851,0.9792644560359647,0.9797728347063576,16660613,223,705341,17515824,34882001
run_26,no_token,0.969,0.9999866153175027,0.9593836883363851,0.9792644560359647,0.9797728347063576,16660613,223,705341,17515824,34882001
run_27,no_token,0.968,0.9999866153175027,0.9593836883363851,0.9792644560359647,0.9797728347063576,16660613,223,705341,17515824,34882001
run_28,no_token,0.969,0.9999866153175027,0.9593836883363851,0.9792644560359647,0.9797728347063576,16660613,223,705341,17515824,34882001
run_29,no_token,0.968,0.9999866153175027,0.9593836883363851,0.9792644560359647,0.9797728347063576,16660613,223,705341,17515824,34882001
run_00,address_only,0.971,0.9999876356410689,0.9593820759861509,0.9792641053383155,0.9797725193574761,16660585,206,705369,17515841,34882001
run_01,address_only,0.971,0.9999876356410689,0.9593820759861509,0.9792641053383155,0.9797725193574761,16660585,206,705369,17515841,34882001
run_02,address_only,0.972,0.9999876356410689,0.9593820759861509,0.9792641053383155,0.9797725193574761,16660585,206,705369,17515841,34882001
run_03,address_only,0.972,0.9999876356410689,0.9593820759861509,0.9792641053383155,0.9797725193574761,16660585,206,705369,17515841,34882001
run_04,address_only,0.971,0.9999876356410689,0.9593820759861509,0.9792641053383155,0.9797725193574761,16660585,206,705369,17515841,34882001
run_05,address_only,0.972,0.9999876356410689,0.9593820759861509,0.9792641053383155,0.9797725193574761,16660585,206,705369,17515841,34882001
run_06,address_only,0.972,0.9999876356410689,0.9593820759861509,0.9792641053383155,0.9797725193574761,16660585,206,705369,17515841,34882001
run_07,address_only,0.971,0.9999876356410689,0.9593820759861509,0.9792641053383155,0.9797725193574761,16660585,206,705369,17515841,34882001
run_08,address_only,0.972,0.9999876356410689,0.9593820759861509,0.9792641053383155,0.9797725193574761,16660585,206,705369,17515841,34882001
run_09,address_only,0.97,0.9999876356410689,0.9593820759861509,0.9792641053383155,0.9797725193574761,16660585,206,705369,17515841,34882001
run_10,address_only,0.971,0.9999876356410689,0.9593820759861509,0.9792641053383155,0.9797725193574761,16660585,206,705369,17515841,34882001
run_11,address_only,0.971,0.9999876356410689,0.9593820759861509,0.9792641053383155,0.9797725193574761,16660585,206,705369,17515841,34882001
run_12,address_only,0.971,0.9999876356410689,0.9593820759861509,0.9792641053383155,0.9797725193574761,16660585,206,705369,17515841,34882001
run_13,address_only,0.971,0.9999876356410689,0.9593820759861509,0.9792641053383155,0.9797725193574761,16660585,206,705369,17515841,34882001
run_14,address_only,0.972,0.9999876356410689,0.9593820759861509,0.9792641053383155,0.9797725193574761,16660585,206,705369,17515841,34882001
run_15,address_only,0.972,0.9999876356410689,0.9593820759861509,0.9792641053383155,0.9797725193574761,16660585,206,705369,17515841,34882001
run_16,address_only,0.97,0.9999876356410689,0.9593820759861509,0.9792641053383155,0.9797725193574761,16660585,206,705369,17515841,34882001
run_17,address_only,0.971,0.9999876356410689,0.9593820759861509,0.9792641053383155,0.9797725193574761,16660585,206,705369,17515841,34882001
run_18,address_only,0.969,0.9999876356410689,0.9593820759861509,0.9792641053383155,0.9797725193574761,16660585,206,705369,17515841,34882001
